1626831064502678,20210721093040110,1049887,1042338,0,买撤单,0,300
1626831065431669,20210721093041780,1061086,0,529899,卖撤单,0,100
1626831065431884,20210721093041780,1061102,1049872,0,买撤单,0,300
1626831065431886,20210721093041780,1061103,1049878,0,买撤单,0,300
1626831065431947,20210721093041780,1061105,1049881,0,买撤单,0,300
1626831065431951,20210721093041780,1061107,1049888,0,买撤单,0,300
1626831065432013,20210721093041780,1061120,1048982,0,买撤单,0,100
1626831065769961,20210721093042090,1063018,639097,0,买撤单,0,600
1626831065788766,20210721093042140,1063322,1061423,0,买撤单,0,300
1626831065788767,20210721093042140,1063324,1048803,0,买撤单,0,300
1626831065788833,20210721093042140,1063327,1033104,0,买撤单,0,300
1626831065788972,20210721093042140,1063332,813648,0,买撤单,0,200
1626831065789048,20210721093042140,1063333,747794,0,买撤单,0,200
1626831065789136,20210721093042140,1063335,735346,0,买撤单,0,100
1626831065789390,20210721093042140,1063339,610352,0,买撤单,0,100
1626831065906963,20210721093042380,1064801,1061132,0,买撤单,0,400
1626831067109818,20210721093043380,1073684,1061108,0,买撤单,0,300
1626831067110051,20210721093043380,1073690,1063047,0,买撤单,0,100
1626831067110379,20210721093043380,1073701,1061104,0,买撤单,0,300
1626831067110385,20210721093043380,1073704,1061106,0,买撤单,0,300
1626831067110389,20210721093043380,1073705,1061101,0,买撤单,0,300
1626831067145172,20210721093043460,1074092,1064783,0,买撤单,0,300
1626831067146556,20210721093043460,1074109,1063784,0,买撤单,0,300
1626831067146565,20210721093043460,1074110,1050540,0,买撤单,0,300
1626831067146652,20210721093043460,1074111,1061466,0,买撤单,0,300
1626831067147264,20210721093043470,1074122,1049798,0,买撤单,0,300
1626831067148888,20210721093043470,1074127,1048303,0,买撤单,0,300
1626831067149500,20210721093043470,1074141,1038397,0,买撤单,0,300
1626831067151839,20210721093043470,1074171,749463,0,买撤单,0,200
1626831067153702,20210721093043480,1074206,732029,0,买撤单,0,200
1626831068094848,20210721093044940,1082278,1073702,0,买撤单,0,300
1626831068094850,20210721093044940,1082279,1073706,0,买撤单,0,300
1626831068094851,20210721093044940,1082282,1073709,0,买撤单,0,300
1626831068094879,20210721093044940,1082284,1073685,0,买撤单,0,300
1626831068543525,20210721093045720,1087362,0,768808,卖撤单,0,200
1626831069472117,20210721093046400,1093615,1082280,0,买撤单,0,300
1626831069472140,20210721093046400,1093616,1082283,0,买撤单,0,300
1626831069472263,20210721093046400,1093617,1082281,0,买撤单,0,300
1626831069472265,20210721093046400,1093620,1082285,0,买撤单,0,300
1626831071922164,20210721093049380,1113322,1093614,0,买撤单,0,400
1626831071922177,20210721093049380,1113324,1093621,0,买撤单,0,400
1626831071922191,20210721093049380,1113326,1093619,0,买撤单,0,400
1626831071922276,20210721093049380,1113340,1093618,0,买撤单,0,400
1626831071922336,20210721093049380,1113357,609768,0,买撤单,0,100
1626831072767216,20210721093050100,1118224,1114090,1118223,买成交,79.06,300
1626831072767230,20210721093050100,1118225,1113323,1118223,买成交,79.05,300
1626831072767240,20210721093050100,1118226,1113325,1118223,买成交,79.05,300
1626831072767244,20210721093050100,1118227,1113327,1118223,买成交,79.05,300
1626831072767252,20210721093050100,1118228,1113341,1118223,买成交,79.05,300
1626831072767256,20210721093050100,1118229,1113355,1118223,买成交,79.05,100
1626831072767272,20210721093050100,1118230,1094229,1118223,买成交,79.04,300
1626831072767275,20210721093050100,1118231,1093717,1118223,买成交,79.03,100
1626831075870820,20210721093053930,1142886,1093582,1142885,买成交,79.02,400
1626831075870821,20210721093053930,1142887,1082765,1142885,买成交,78.91,200
1626831079817544,20210721093058390,1172171,0,1049873,卖撤单,0,200
1626831079817884,20210721093058400,1172178,0,1049880,卖撤单,0,200
1626831079817886,20210721093058400,1172179,0,1049890,卖撤单,0,200
1626831080876132,20210721093059650,1179150,0,625459,卖撤单,0,100
1626831080877151,20210721093059660,1179183,0,1049022,卖撤单,0,100
1626831080877693,20210721093059660,1179196,0,1049315,卖撤单,0,100
1626831085034532,20210721093103760,1213364,1142915,0,买撤单,0,100
1626831085034636,20210721093103760,1213365,0,1172180,卖撤单,0,100
1626831085034663,20210721093103760,1213369,0,1172181,卖撤单,0,100
1626831085034680,20210721093103760,1213370,0,1172172,卖撤单,0,100
1626831085034708,20210721093103760,1213372,1142916,0,买撤单,0,100
1626831085034726,20210721093103760,1213373,1142914,0,买撤单,0,100
1626831085035020,20210721093103760,1213387,0,1179178,卖撤单,0,100
1626831085037520,20210721093103760,1213421,1213420,1182460,卖成交,79.06,100
1626831088048889,20210721093106140,1234392,0,1213455,卖撤单,0,100
1626831088049028,20210721093106140,1234393,1213368,0,买撤单,0,600
1626831088049221,20210721093106140,1234395,1213371,0,买撤单,0,600
1626831088049223,20210721093106140,1234396,1213366,0,买撤单,0,600
1626831088049226,20210721093106140,1234397,0,1213457,卖撤单,0,100
1626831088049230,20210721093106140,1234398,0,1213456,卖撤单,0,100
1626831088049282,20210721093106140,1234405,1213458,0,买撤单,0,600
1626831089829656,20210721093107400,1246787,0,1234394,卖撤单,0,200
1626831089829679,20210721093107400,1246788,0,1234403,卖撤单,0,200
1626831089829725,20210721093107400,1246789,1234402,0,买撤单,0,100
1626831089829727,20210721093107400,1246791,0,1234404,卖撤单,0,200
1626831089831469,20210721093107410,1246870,0,1220323,卖撤单,0,100
1626831089831676,20210721093107420,1246926,0,1220269,卖撤单,0,100
1626831089852763,20210721093107670,1249219,1234399,1249218,买成交,79.07,100
1626831089852988,20210721093107680,1249262,0,1246784,卖撤单,0,500
1626831089852995,20210721093107680,1249263,0,1246792,卖撤单,0,500
1626831089853081,20210721093107680,1249271,0,1246790,卖撤单,0,500
1626831089860874,20210721093107790,1250104,1234544,1250103,买成交,79.07,100
1626831090275391,20210721093108040,1251897,744322,0,买撤单,0,100
1626831090317396,20210721093108120,1252857,745317,0,买撤单,0,100
1626831091141811,20210721093108530,1255685,751002,0,买撤单,0,100
1626831091574669,20210721093109270,1260597,0,1082259,卖撤单,0,100
1626831091575070,20210721093109270,1260611,0,1249261,卖撤单,0,300
1626831091575075,20210721093109270,1260612,0,1249272,卖撤单,0,300
1626831091575076,20210721093109270,1260613,0,1249270,卖撤单,0,300
1626831091575150,20210721093109280,1260656,0,1246757,卖撤单,0,500
1626831091996107,20210721093109560,1262610,1220218,1262609,买成交,79.06,100
1626831092858284,20210721093110080,1268211,312072,0,买撤单,0,100
1626831092863445,20210721093110100,1268558,0,1251966,卖撤单,0,100
1626831092863950,20210721093110100,1268638,0,1252182,卖撤单,0,100
1626831092876607,20210721093110120,1268988,1064163,0,买撤单,0,300
1626831092876610,20210721093110120,1268990,1063341,0,买撤单,0,300
1626831093219783,20210721093110400,1271915,701073,0,买撤单,0,100
1626831093219788,20210721093110400,1271921,701090,0,买撤单,0,100
1626831093246858,20210721093110470,1272332,1271933,1272331,买成交,79.08,100
1626831093248027,20210721093110470,1272358,0,1260614,卖撤单,0,200
1626831093248122,20210721093110470,1272359,0,1260610,卖撤单,0,200
1626831093248341,20210721093110470,1272361,0,1260615,卖撤单,0,200
1626831093625936,20210721093110890,1275255,1275254,1272357,卖成交,79.29,100
1626831093626072,20210721093110890,1275285,1272360,0,买撤单,0,100
1626831093627231,20210721093110920,1275524,1275523,1275290,卖成交,79.28,100
1626831094354952,20210721093111440,1279931,1213353,0,买撤单,0,600
1626831094355732,20210721093111450,1279982,1279981,1279974,卖成交,79.28,100
1626831095373316,20210721093112280,1285704,1268778,1285703,买成交,78.94,100
